Facultad,Instituto,Proyecto
CIENCIAS,Instituto de Matemáticas,Esturctura Típica del Grupo Multiplicativo Módulo N
CIENCIAS,Instituto de Matemáticas,Integralidad y no integralidad de Campos Vectoriales Polinomiales en el Plano Complejo mediante Teoría de Galois Diferencial
CIENCIAS,Instituto de Matemáticas,Aproximación Semiclásica de Sistemas Hamiltonianos con potenciales Homogéneos de dos grados de libertad y osciladores no autónomos
CIENCIAS,Instituto de Matemáticas,Primitivas iteradas de los polinomios de Laguerre y aplicaciones
CIENCIAS,Instituto de Matemáticas,"Efectividad de una Metodología basada en los Estilos de Aprendizaje en la Enseñanza de la Matemática del ciclo básico, en la Docencia Universitaria Dominicana"
CIENCIAS,Instituto de Matemáticas,Polinomios de Laguerre-Sobolev y aplicaciones a las ecuaciones lineales en diferencias
CIENCIAS,Instituto de Microbiología y Parasitología,Caracterización molecular y diagnóstico inmunológico de antígenos de Fasciola hepática en heces en el Ganado bovino y Caprino de República Dominicana (2016-2018)
CIENCIAS,Instituto de Microbiología y Parasitología,Determinación de la resistencia a insecticidas y sus mecanismos en vectores trasmisores de arbovirosis en República Dominicana
CIENCIAS,Instituto de Química,Estudios preclínicos preliminares de Koanólido A.
CIENCIAS,Instituto de Química,"Aprovechamiento de los pepinos de mar Holothuria mexicana, badionotus y multipidus, existentes en mares de de República Dominicana y la microbiota asociada mediante tecnología de secuenciación de alto rendimiento, para diseñar estrategias de manejo ecológico, conservación y aprovechamiento biotecnológico sustentable de los recursos genéticos, costeros y marinos."
CIENCIAS,Instituto Geográfico Universitario,"Actualización de la clasificación de la vegetación, según la clasificación de Häger y Zanoni, su distribución espacial y mapa de la vegetación de la República Dominicana"
CIENCIAS,Instituto Geográfico Universitario,Migración y paisaje. Reflexiones geográficas sobre la cuenca del río Bao (1980-2019
CIENCIAS,Instituto Geográfico Universitario,Alianza y mejora de capacidades interuniversitarias para la sostenibilidad del litoral caribe; +Caribe.
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Caracterización tecnológica de la producción actual de Pitahaya (Hylocereus undatus Britt el Rose)
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Sostenibilidad Financiera y Física del Servicio Tarifario en el Sistema de Riego Mao – Gurabo
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,"Tuberculosis bovina: Evaluación de técnicas diagnósticas, caracterización molecular de aislamientos y detección de resistencia antimicrobiana en República Dominicana"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Caracterización del virus de la Hepatitis por cuerpos de inclusión y determinación de estrategias para su prevención en la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto de Enfermedades Infecciosas y Zoonóticas,Risk assessment of swine swill feeding in the Eastern region of the Dominican Republic
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Prospección de microorganismos parásitos de Hemileia vastratrix en plantaciones de café de San Juan
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Aislamiento, identificación, caracterización de bacterias probióticas nativas (Lactobacillus y Bifidobacterium) aisladas del tracto estomacal humano"
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Mejora de la productividad de ají y tomate mediante el estudio de las interacciones virus-plantas para la selección de factores asociados con la resistencia
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Actualización de agentes virales de transmisión mecánica y por vectores e implicaciones para su manejo en cultivos de ambiente protegido
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Aplicación de técnicas biotecnológicas para el control de enfermedades virales en ajo (Allium sativum L.)
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Secuestro de carbono en suelos de bosques cacaotaleros del municipio Los Hidalgos, provincia Puerto Plata: un componente que mitiga el cambio climático."
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Estudios bioecológicos comparativos de Orius Insidiousus Vs Orius Laevigatus
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Uso de técnicas moleculares de nueva generación con fines estratégicos en la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Indicadores de sostenibilidad en sistemas de producción ganadera de doble propósito y diseño de aplicaciones informáticas para aumentar su competitividad en la República Dominicana
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Aislamiento y caracterización molecular de nematodos entomopatógenos como alternativa de Control Biológico de insectos de Suelos en cultivos tropicales
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Situación sanitaria de las granjas de producción acuícola en República Dominicana y su impacto económico
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Desarrollo de tecnología para escalamiento de la producción masiva de insectos benéficos y desarrollo de estrategias en uso en campo e invernadero.
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,"Diagnóstico y efecto de la utilización del control biológico y biopreparados sobre las plagas insectiles de importancia en Pitahaya, Hylocereus spp."
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Potenciando la rentabilidad del cultivo de aguacate (Peresea Americana Mill) mediante la detección inteligente de enfermedades y un manejo integral
CIENCIAS AGRONÓMICAS Y VETERINARIAS,Instituto Nacional de Investigaciones Agropecuarias -INIA,Evaluación del Impacto de las mutaciones presentes en las variantes severas de los Virus del Tomate y Habichuela - base para la búsqueda de genes de susceptibilidad en variedades comerciales
CIENCIAS DE LA EDUCACIÓN,Instituto de Investigación e Innovación Educativa,Concepción pedagógica de la formación de doctores en las IES en la República Dominicana. Metodología para su implementación
CIENCIAS DE LA SALUD,Instituto de Investigaciones en Salud,"Utilización de un Modelo innovador basado en comunidad, para el manejo y el seguimiento por personal de salud no médicos (PSNM), para mejorar la conciencia, el tratamiento y el control de la hipertentensión arterial (HTA)"
